date,state,candidate,prob
2020-04-21,Colorado,biden,0.885745
2020-04-21,Colorado,trump,0.114255
2020-04-21,Connecticut,biden,0.98397
2020-04-21,Connecticut,trump,0.01603
2020-04-21,Delaware,biden,0.996145
2020-04-21,Delaware,trump,0.003855
2020-04-21,District of Columbia,biden,1
2020-04-21,District of Columbia,trump,0
2020-04-21,Florida,biden,0.64331
2020-04-21,Florida,trump,0.35669
2020-04-21,Georgia,biden,0.406885
2020-04-21,Georgia,trump,0.593115
2020-04-21,Hawaii,biden,1
2020-04-21,Hawaii,trump,0
2020-04-21,Idaho,biden,4e-5
2020-04-21,Idaho,trump,0.99996
2020-04-21,Illinois,biden,0.99552
2020-04-21,Illinois,trump,0.00448
2020-04-21,Indiana,biden,0.005175
2020-04-21,Indiana,trump,0.994825
2020-04-21,Iowa,biden,0.102375
2020-04-21,Iowa,trump,0.897625
2020-04-21,Kansas,biden,0.01596
2020-04-21,Kansas,trump,0.98404
2020-04-21,Kentucky,biden,5.5e-5
2020-04-21,Kentucky,trump,0.999945
2020-04-21,Louisiana,biden,0.027475
2020-04-21,Louisiana,trump,0.972525
2020-04-21,Maine,biden,0.853295
2020-04-21,Maine,trump,0.146705
2020-04-21,Maine's 1st congressional district,biden,0.99005
2020-04-21,Maine's 1st congressional district,trump,0.00995
2020-04-21,Maine's 2nd congressional district,biden,0.200745
2020-04-21,Maine's 2nd congressional district,trump,0.799255
2020-04-21,Maryland,biden,1
2020-04-21,Maryland,trump,0
2020-04-21,Massachusetts,biden,0.999735
2020-04-21,Massachusetts,trump,2.65e-4
2020-04-21,Michigan,biden,0.75889
2020-04-21,Michigan,trump,0.24111
2020-04-21,Minnesota,biden,0.873695
2020-04-21,Minnesota,trump,0.126305
2020-04-21,Mississippi,biden,0.013605
2020-04-21,Mississippi,trump,0.986395
2020-04-21,Missouri,biden,0.011515
2020-04-21,Missouri,trump,0.988485
2020-04-21,Montana,biden,5.95e-4
2020-04-21,Montana,trump,0.999405
2020-04-21,National,biden,0.748935
2020-04-21,National,trump,0.251065
2020-04-21,Nebraska,biden,0.00312
2020-04-21,Nebraska,trump,0.99688
2020-04-21,Nebraska's 1st congressional district,biden,0.01434
2020-04-21,Nebraska's 1st congressional district,trump,0.98566
2020-04-21,Nebraska's 2nd congressional district,biden,0.57403
2020-04-21,Nebraska's 2nd congressional district,trump,0.42597
2020-04-21,Nebraska's 3rd congressional district,biden,0
2020-04-21,Nebraska's 3rd congressional district,trump,1
2020-04-21,Nevada,biden,0.84864
2020-04-21,Nevada,trump,0.15136
2020-04-21,New Hampshire,biden,0.67967
2020-04-21,New Hampshire,trump,0.32033
2020-04-21,New Jersey,biden,0.999065
2020-04-21,New Jersey,trump,9.35e-4
2020-04-21,New Mexico,biden,0.98237
2020-04-21,New Mexico,trump,0.01763
2020-04-21,New York,biden,1
2020-04-21,New York,trump,0
2020-04-21,North Carolina,biden,0.360115
2020-04-21,North Carolina,trump,0.639885
2020-04-21,North Dakota,biden,0
2020-04-21,North Dakota,trump,1
2020-04-21,Ohio,biden,0.326255
2020-04-21,Ohio,trump,0.673745
2020-04-21,Oklahoma,biden,0
2020-04-21,Oklahoma,trump,1
2020-04-21,Oregon,biden,0.97307
2020-04-21,Oregon,trump,0.02693
2020-04-21,Pennsylvania,biden,0.61545
2020-04-21,Pennsylvania,trump,0.38455
2020-04-21,Rhode Island,biden,0.992405
2020-04-21,Rhode Island,trump,0.007595
2020-04-21,South Carolina,biden,0.061425
2020-04-21,South Carolina,trump,0.938575
2020-04-21,South Dakota,biden,4.7e-4
2020-04-21,South Dakota,trump,0.99953
2020-04-21,Tennessee,biden,3.5e-4
2020-04-21,Tennessee,trump,0.99965
2020-04-21,Texas,biden,0.21157
2020-04-21,Texas,trump,0.78843
2020-04-21,Utah,biden,0.00402
2020-04-21,Utah,trump,0.99598
2020-04-21,Vermont,biden,0.99997
2020-04-21,Vermont,trump,3e-5
2020-04-21,Virginia,biden,0.950335
2020-04-21,Virginia,trump,0.049665
2020-04-21,Washington,biden,0.99931
2020-04-21,Washington,trump,6.9e-4
2020-04-21,West Virginia,biden,0
2020-04-21,West Virginia,trump,1
2020-04-21,Wisconsin,biden,0.609865
2020-04-21,Wisconsin,trump,0.390135
2020-04-21,Wyoming,biden,0
2020-04-21,Wyoming,trump,1
2020-04-22,Alabama,biden,5e-5
2020-04-22,Alabama,trump,0.99995
2020-04-22,Alaska,biden,0.03999
2020-04-22,Alaska,trump,0.96001
2020-04-22,Arizona,biden,0.65112
2020-04-22,Arizona,trump,0.34888
2020-04-22,Arkansas,biden,0.00176
2020-04-22,Arkansas,trump,0.99824
2020-04-22,California,biden,1
2020-04-22,California,trump,0
2020-04-22,Colorado,biden,0.87991
2020-04-22,Colorado,trump,0.12009
2020-04-22,Connecticut,biden,0.98339
2020-04-22,Connecticut,trump,0.01661
2020-04-22,Delaware,biden,0.99613
2020-04-22,Delaware,trump,0.00387
2020-04-22,District of Columbia,biden,1
